parentCompany,businessName,businessType,expires,street,city,state,zipCode
513 HOTEL OPERATING LLC,HOTEL ELEGANTE' CONFERENCE & EVENT CENTER,Hotel & Restaurant (city), 09/18/2015,2886 S CIRCLE DR,Colorado Springs,CO,80906
5198 NORTH NEVADA LLC,COWBOY STAR RESTAURANT & BUTCHER SHOP,Hotel & Restaurant (city), 09/22/2015,5198 N NEVADA AVE STE 150,Colorado Springs,CO,80918
52 LIQUOR LLC,52 LIQUOR LLC,Liquor Store (city), 12/14/2015,901 CARBONDALE_DRIVE,DACONO,CO,805149550
520 BURGERS LLC,520 BURGERS,Hotel & Restaurant (city), 12/20/2015,520 SHERMAN ST,Ridgway,CO,81432
5275 QUEBEC INC,QUEBEC LIQUOR,Liquor Store (city), 07/16/2016,5275 QUEBEC ST,Commerce City,CO,800224840
5280 WINE & SPIRITS LLC,SUMMIT WINE & SPIRITS,Liquor Store (city), 04/22/2016,385 CROSSING DRIVE,Lafayette,CO,800261742
530 BROADWAY LLC,MOE'S ORIGINAL BAR B QUE,Hotel & Restaurant (city), 04/28/2016,530 BROADWAY,DENVER,CO,802033406
5374 RESTAURANT CORP,SMOKIN' DAVE'S BBQ & TAPHOUSE LYONS,Hotel & Restaurant (city), 01/18/2016,228 MAIN ST,Lyons,CO,80540
5411 LEETSDALE LLC,WATERING BOWL,Hotel & Restaurant (city), 06/19/2016,5411 LEETSDALE DR,Denver,CO,80246
5560 RESTAURANT PARTNERS LLC,WEST 29TH,Hotel & Restaurant (city), 05/27/2016,5560 W 29TH AVE,Wheat Ridge,CO,80214
568 KONNYAKU,KONNYAKU,Hotel & Restaurant (city), 07/11/2016,566 & 568 HWY 133,Carbondale,CO,81623
5680 LLC,5680 LLC,Limited Winery, 07/08/2016,14652 PEONY LANE,PAONIA,CO,814284112
6 & 13 QUICK MART LLC,6&13 QUICK MART,3.2% Beer Off Premises (city), 08/09/2015,101 RAILROAD AV,Rifle,CO,816502215
609 CORONA LLC,TABLE 6,Beer & Wine (city), 01/10/2016,609 CORONA STREET,Denver,CO,802183406
621 LLC,BATTERY G21,Art Gallery Permit, 09/19/2012,621 KALAMATH ST,DENVER,CO,802044424
640 EAST 58TH AVE LLC,MAPLETON DISCOUNT LIQUORS,Liquor Store (county), 02/28/2016,640 E 58TH AVE,Denver,CO,802161403
6525 FOUNTAIN MESAINC,LIQUOR STOP,Liquor Store (county), 08/24/2015,6525 FOUNTAIN MESA RD,COLORADO SPRINGS,CO,809119622
6610 MONACO INC,MONACO PLAZA LIQUORS,Liquor Store (city), 10/07/2015,6610 MONACO ST,Commerce City,CO,800222827
6802 S YOSEMITE LLC,7-ELEVEN 39214A,3.2% Beer Off Premises (city), 08/09/2016,6802 S YOSEMITE ST,Centennial,CO,801121407
6855 LOWELL INC,LOWELL MART,3.2% Beer Off Premises (city), 09/06/2015,6855 LOWELL BLVD,WESTMINSTER,CO,800302652
6TH AVENUE LIQUORS LLC,6TH AVENUE LIQUORS,Liquor Store (city), 10/24/2015,10310 E 6TH AVENUE #C,Aurora,CO,80013
7 ELEVEN INC AND VENUS INC,7 ELEVEN STORE 13082A,3.2% Beer Off Premises (city), 01/04/2016,310 W UINTAH ST,Colorado Springs,CO,809051045
7 HERMITS BREWING COMPANY LLC,7 HERMITS BREWING COMPANY,Brew Pub (city), 10/24/2015,0717 SYLVAN LAKE RD #B-1-01,Eagle,CO,81631
