parentCompany,businessName,businessType,expires,street,city,state,zipCode
7-ELEVEN INC,SEVEN ELEVEN STORE NO 23811,3.2% Beer Off Premises (city), 02/15/2016,327 W 8TH ST,PUEBLO,CO,810033004
7-ELEVEN INC,7 ELEVEN STORE #32990,3.2% Beer Off Premises (city), 01/15/2016,3522 N ELIZABETH ST,Pueblo,CO,810081168
7-ELEVEN INC,SEVEN ELEVEN STORE #22021,3.2% Beer Off Premises (city), 01/04/2016,23250 TWO RIVERS RD,BASALT,CO,816219305
7-ELEVEN INC,SEVEN ELEVEN STORE NO 20638,3.2% Beer Off Premises (city), 01/31/2016,804 E 4TH,Pueblo,CO,810013929
7-ELEVEN INC,7-ELEVEN STORE 34209,3.2% Beer Off Premises (city), 02/10/2016,008 NOTTINGHAM,AVON,CO,81620
7-ELEVEN INC,SEVEN ELEVEN STORE NO 17284J,3.2% Beer Off Premises (city), 08/17/2015,741 N SUMMIT BLVD,Frisco,CO,804439999
7-ELEVEN INC,7 ELEVEN STORE 39075,3.2% Beer Off Premises (city), 10/04/2015,4695 20TH ST,Greeley,CO,806313224
7-ELEVEN INC,SEVEN ELEVEN STORE NO 23570,3.2% Beer Off Premises (city), 11/05/2015,5 S CIRCLE DR B-2,Colorado Springs,CO,809093021
7-ELEVEN INC,SEVEN ELEVEN STORE 18589J,3.2% Beer Off Premises (city), 04/27/2016,511 AGATE AVE,Granby,CO,80446
7-ELEVEN INC,SEVEN ELEVEN STORE NO 17142,3.2% Beer Off Premises (city), 10/05/2015,2081 W EISENHOWER,LOVELAND,CO,805373100
7-ELEVEN INC,SEVEN ELEVEN STORE NO 13111,3.2% Beer Off Premises (city), 02/15/2016,2727 S PRAIRIE,PUEBLO,CO,810053109
7-ELEVEN INC,7-ELEVEN STORE 34441,3.2% Beer Off Premises (city), 06/15/2015,13697 E ILIFF AVE UNIT 1,Aurora,CO,800146528
7-ELEVEN INC,7 ELEVEN STORE 34924,3.2% Beer Off Premises (city), 04/18/2016,2803 W 10TH ST,GREELEY,CO,806315424
7-ELEVEN INC,7-ELEVEN STORE 35506H,3.2% Beer Off Premises (city), 09/18/2015,3045 W. PROSPECT ROAD,Fort Collins,CO,80526
7-ELEVEN INC,SEVEN ELEVEN STORE NO 17211,3.2% Beer Off Premises (city), 02/22/2016,U S HWY 6&24,GLENWOOD SPRINGS,CO,816019710
7-ELEVEN INC,SEVEN ELEVEN STORE NO 18324,3.2% Beer Off Premises (city), 09/07/2015,8TH & MAIN,Yuma,CO,807590000
7-ELEVEN INC,7-ELEVEN STORE 32267,3.2% Beer Off Premises (city), 08/02/2015,10992 HWY 9,BRECKENRIDGE,CO,80424
7-ELEVEN INC,7 ELEVEN STORE 35622H,3.2% Beer Off Premises (city), 05/07/2016,6630 S YOSEMITE ST,Greenwood Village,CO,801114942
7-ELEVEN INC & B FRIENDLY INC,7-ELEVEN STORE #34570A,3.2% Beer Off Premises (city), 07/20/2016,1755 BLAKE ST #100,Denver,CO,802061292
7-ELEVEN INC & CARPCO LLC,7-ELEVEN STORE 39528A,3.2% Beer Off Premises (city), 12/13/2015,16310 E QUINCY AVE,Aurora,CO,800151596
7-ELEVEN INC & CST BOARDWALK INC,7-ELEVEN STORE 25290A,3.2% Beer Off Premises (city), 04/03/2016,4543 BOARDWALK DR,Fort Collins,CO,80525
7-ELEVEN INC & H&A HARRISON INC,7 ELEVEN STORE 34159A,3.2% Beer Off Premises (city), 12/09/2015,12285 S PARKER RD,PARKER,CO,801343492
7-ELEVEN INC AND CARPCO LLC,7-ELEVEN STORE #39519A,3.2% Beer Off Premises (city), 12/04/2015,7486 WESTGATE,Windsor,CO,805288985
"7-ELEVEN, INC",7-ELEVEN STORE 37141H,3.2% Beer Off Premises (city), 11/02/2015,4855 PECOS ST,Denver,CO,80221
7TH AVENUE PARTNERS INC,LALA'S WINE BAR AND PIZZERIA,Hotel & Restaurant (city), 07/21/2016,410 E 7TH AVE,Denver,CO,802033605
7TH STREET LIQUOR,7TH STREET LIQUOR,Liquor Store (city), 12/10/2015,644 LINCOLN AVE,Steamboat Springs,CO,804878901
8055 LIQUOR INC,ARROW DISCOUNT LIQUORS,Liquor Store (county), 06/03/2016,8055 W. BOWLES AVE # 2 W,Littleton,CO,80123
808 DISTILLERY LLC,808 DISTILLERY LLC,Manufacturer (distillery & rectifier), 08/30/2015,808 FAIRGROUNDS RD,EAGLE,CO,81631
808 DISTILLERY LLC,808 DISTILLERY LLC,Wholesale (vinous & spirituous), 08/30/2015,808 FAIRGROUNDS RD,EAGLE,CO,81631
809 GALLERY LLC,GALLERY 809,Art Gallery Permit, 04/29/2016,809 GRAND AVE STE 3,Glenwood Springs,CO,816013488
82 LIQUORS LLC,82 LIQUORS,Liquor Store (county), 12/17/2015,10143 W CHATFIELD AVE UNIT 5,LITTLETON,CO,801274266
82 LIQUORS LTD,82 LIQUORS,Liquor Store (county), 09/09/2015,2550 HWY 82 A-112 & 116,Glenwood Springs,CO,81601
"8270 NORTHFIELD, INC",IT'S BROTHERS BAR & GRILL,Hotel & Restaurant (city), 05/20/2016,"8270 NORTHFIELD BLVD., #1480",Denver,CO,80238
830 INC,THE SHAG LOUNGE,Tavern (city), 09/11/2015,830 15TH ST,DENVER,CO,802023209
8545 RESTAURANT GROUP LLC,LODOS BAR & GRILL HIGHLANDS RANCH,Hotel & Restaurant (county), 06/22/2016,8545 S QUEBEC ST,LONE TREE,CO,801243604
900 DEGREES LLC,900 DEGREES,Beer & Wine (city), 06/03/2016,111 W PROSPECT RD #B,Fort Collins,CO,80525
920 MAIN LLC,ROCHESTER HOTEL,Tavern (city), 07/19/2016,726 E SECOND AVENUE,Durango,CO,813015404
931 E 11TH AVE CORP,PARK TAVERN AND RESTAURANT THE,Hotel & Restaurant (city), 11/03/2015,921 E 11TH AVE,DENVER,CO,802182803
950 PEARL STREET LLC,CENTRO LATIN KITCHEN,Hotel & Restaurant (city), 05/11/2016,950 PEARL ST,Boulder,CO,803025109
9701 CORP,T BIRD ROADHOUSE,Hotel & Restaurant (city), 04/25/2016,9701 W 44TH AVE,Wheat Ridge,CO,800332908
975 LINCOLN ST LLC,100% DE AGAVE MEXICAN GRILL AND CANTINA,Hotel & Restaurant (city), 03/11/2016,975 LINCOLN ST UNIT M,Denver,CO,80203
98-99 LLC,ELWAY'S RESTAURANT,Hotel & Restaurant (city), 09/14/2015,2500 E 1ST AVE #B101,Denver,CO,802065631
9TH & FEDERAL LIQUORS INC,USA LIQUORS,Liquor Store (city), 06/16/2016,900 FEDERAL BLVD,DENVER,CO,802043215
"A & B LAXMI, INC. & 7-ELEVEN, INC",7-ELEVEN STORE 32673A,3.2% Beer Off Premises (city), 07/21/2015,1446 N 95TH ST,Lafayette,CO,80026
A & C INC,AJ'S LIQUOR,Liquor Store (city), 05/14/2016,9590 W. COLFAX AVENUE,Lakewood,CO,80215
A & C INC,CAMILLA'S KAFFE,Beer & Wine (city), 05/13/2016,206 E ASPEN STREET,Fruita,CO,815212206
A & D  T'S BAR LLC,T'S BAR,Tavern (county), 07/11/2015,34158 HIGHWAY 50 E,Pueblo,CO,81006
A & D BILLIARDS INC,CLASSIC Q'S,Tavern (city), 06/11/2016,1715 S PRAIRIE AVE,Pueblo,CO,81005
A & H LIQUOR INC,FAIRFAX LIQUORS,Liquor Store (city), 05/02/2016,2801 FAIRFAX ST,DENVER,CO,802072748
A & I LIQUOR LLC,A & I LIQUOR,Liquor Store (city), 03/28/2016,306 S IRONTON UNIT B,Aurora,CO,800122078
"A & J REFRIGERATION, INC",OGDEN STREET SOUTH,Hotel & Restaurant (city), 03/03/2016,103 S OGDEN,Denver,CO,802092319
A & K INC,XIANG'S KITCHEN,Hotel & Restaurant (city), 08/21/2015,5935 CONSTITUTION AVE,COLORADO SPRINGS,CO,809151211
A & M BUSINESS ENTERPRISES LLC,SHEABEEN PUB,Tavern (city), 08/22/2015,2300 S CHAMBERS RD UNIT A+B,AURORA,CO,800142558
A & T LLC,QUINCY LIQUOR,Liquor Store (city), 02/26/2016,"19330 E QUINCY AVE, UNIT D",Aurora,CO,80015
A A P CORP,ORE HOUSE,Hotel & Restaurant (city), 12/31/2015,147 E COLLEGE DRIVE,Durango,CO,813015405
A B PETROLEUM INC,A B PETROLEUM INC 16,3.2% Beer Off Premises (city), 09/28/2015,715 S MAIN ST,Breckenridge,CO,804249999
A BIT OF BILLIARDSINC,A BIT OF BILLIARDS,Tavern (city), 06/24/2013,700 KEN PRATT BLVD STE 105,LONGMONT,CO,805016452
A DIFFERENT KIND OF BEAN INC,STEAMERS COFFEE HOUSE & JACK'S,Hotel & Restaurant (city), 07/30/2016,8565 FIVE PARKS DR STE 100,ARVADA,CO,80005
A H C S INC,HIGH ALPINE REST,Hotel & Restaurant (city), 12/02/2015,SEC1 T10 R86W,SNOWMASS VLLGE,CO,816159999
A KNIGHT LLC,NOSHERY THE,Hotel & Restaurant (city), 09/10/2015,4994 LOWELL BLVD,Denver,CO,80221
A M A ENTRPS INC,DUBBS PUB,Tavern (city), 06/17/2015,5301 S BROADWAY,LITTLETON,CO,801218001
A MAJOR CORPORATION,TWINS INN,Tavern (county), 01/26/2016,5201 W 56TH AVE,Arvada,CO,80002
A N A CORPORATION,SONORA LIQUORS AURORA,Liquor Store (city), 09/21/2015,566 NORTH DAYTON STREET,Aurora,CO,800104203
A VISA INC,240 UNION RESTAURANT,Hotel & Restaurant (city), 05/01/2016,240 UNION BLVD,Lakewood,CO,802281806
A W RESTAURANT INC,WANGS GOURMET,Hotel & Restaurant (city), 07/31/2016,12 EAST ARAPAHOE RD,Littleton,CO,80122
A&B LIQUOR INC,A&B LIQUOR INC,Liquor Store (city), 06/11/2016,804 E OLIVE,Lamar,CO,810522945
A&F LLC,ANA'S MEXICAN GRILL,Hotel & Restaurant (city), 04/10/2016,2821 W 120TH AVE E-100,Westminster,CO,80234
A&G HOLDINGS LLC,THE ABBEY TAVERN,Hotel & Restaurant (city), 04/17/2016,5151 E COLFAX,Denver,CO,80220
A&G LLC,EL BAKARA RESTAURANTE & BAR,Hotel & Restaurant (city), 01/15/2016,11707 E COLFAX,Aurora,CO,80010
A&L COORS INC,A&L COORS INC,Wholesale (vinous & spirituous), 01/31/2016,131 ROCK POINT DR,DURANGO,CO,813017912
A&L COORS INC,A&L COORS INC,3.2% Beer Wholesale, 01/01/2016,131 ROCK POINT DR,DURANGO,CO,813017912
A&S LLC,ANGELS END ZONE,Tavern (city), 07/16/2016,309 N BROADWAY,Cortez,CO,813212715
A.H. GRILL AND BAKERY LLC,PHOENICIAN KABOB,Hotel & Restaurant (city), 10/20/2015,5709 E COLFAX AVE,Denver,CO,802201415
A.J.'S CORNER TAVERN INC,AJ'S CORNER TAVERN,Tavern (county), 02/13/2016,24213 HWY 39,GOODRICH,CO,80653
A.J.'S CORNER TAVERNINC,A.J.'S CORNER TAVERN,3.2% Beer On/Off Premises (county), 06/24/2013,24213 HIGHWAY 39,GOODRICH,CO,806539116
A.S. GANICK LLC,BERKSHIRE THE,Hotel & Restaurant (city), 02/10/2016,7352 E 29TH AVE,Denver,CO,802382699
"A2Z- EROB, INC & 7-ELEVEN INC",7-ELEVEN STORE 37016A,3.2% Beer Off Premises (city), 07/23/2016,4922 WILLOW ST,Denver,CO,80238
AA ENTERPRISE CORPORATION,RIVIERA,Tavern (city), 01/21/2016,9099 E MISSISSIPI AVE,Denver,CO,80247
AAR RIVER GALLERY LLC,AAR RIVER GALLERY,Art Gallery Permit, 11/05/2015,3707 W 73RD AVE,WESTMINSTER,CO,800305217
AARON ENTERPRISES INC,AARON'S LIQUORS,Liquor Store (city), 02/14/2016,7111 NORTH TOWER RD,DENVER,CO,802497305
AB LIQUOR INC,AB LIQUOR,Liquor Store (city), 02/08/2016,4286 S CHAMBERS RD,AURORA,CO,800144130
ABA LIQUOR INC,HOUSE OF SPIRITS,Liquor Store (city), 07/06/2015,12244 E 44TH AVE,Denver,CO,802393311
ABAI INC,ABC DISCOUNT LIQUOR,Liquor Store (city), 11/20/2015,5600 W DARTMOUTH AV #106,DENVER,CO,802275546
ABBESOLOM INC,LIQUOR ONE OF LOVELAND,Liquor Store (city), 11/27/2015,2231 W EISENHOWER BLVD,LOVELAND,CO,805373147
ABBY NICO COMPANY INC AND 7-ELEVEN INC,7-ELEVEN STORE 23418A,3.2% Beer Off Premises (city), 01/03/2016,10502 E COLFAX AVE,Aurora,CO,800105020
ABEL LLC,SMOKY HILL WINE AND SPIRITS,Liquor Store (city), 07/24/2015,15275 E SMOKY HILL RD,Aurora,CO,80015
ABES BAR & GRILL LLC,ABES BAR & GRILL,Hotel & Restaurant (city), 05/13/2016,13701 W JEWELL AVE STE 103-105,LAKEWOOD,CO,802284139
ABEYTA LEO P,SIDE KICK LOUNGE,Tavern (city), 12/08/2015,665 GODDARD AVE,Ignacio,CO,81137
ABG LIQUORS INC,BUSBY LIQUORS,Liquor Store (city), 09/29/2015,4900 LOWELL BLVD,Denver,CO,802211028
"ABHIANU, INC. & 7-ELEVEN, INC.",7-ELEVEN STORE 34330B,3.2% Beer Off Premises (city), 06/11/2016,3810 FEDERAL BOULEVARD,Denver,CO,80211
ABO'S PIZZA WILDCAT INC,ABO'S PIZZA,Beer & Wine (county), 04/08/2016,2229 WILDCAT RESERVE PKWY #A-1,Highlands Ranch,CO,80129
ABRAHA BERHANE K,QUEBEC LIQUORS & SPIRITS,Liquor Store (county), 10/16/2015,2280 S QUEBEC ST UNIT B,Denver,CO,802317008
AB'S CLUB & RESTAURANT LLC,AB'S CLUB & RESTAURANT,Tavern (city), 09/17/2015,14567 E ALAMEDA AVE,Aurora,CO,80012
ABUBEKER AREFAT ABDU,LUCY'S ETHIOPIAN RESTAURANT,Hotel & Restaurant (city), 11/08/2015,7401 E COLFAX AVE,Denver,CO,80220
ABUELA'S BY ADRIANA INC,ADRIANA'S RESTAURANT,Hotel & Restaurant (county), 09/12/2015,7272 E HWY 86,Franktown,CO,80116
"AC GOLDEN BREWING COMPANY, LLC",AC GOLDEN BREWING CO,3.2% Beer Wholesale, 03/20/2016,1001 VASQUEZ ST  CELL B-1,Golden,CO,80401
AC TENNYSON LLC,ATOMIC COWBOY/DEN. BISC. CO./FAT SULLY'S,Hotel & Restaurant (city), 12/10/2015,4275 TENNYSON STREET,Denver,CO,80212
ACADEMY DISCOUNTLIQUOR INC,ACADEMY DISCOUNT LIQUOR,Liquor Store (city), 10/11/2015,1210 N ACADEMY BLVD,COLORADO SPRINGS,CO,809094407
ACADEMY GROUP LP,ACADEMY RETIREMENT COMMUNITY THE,Hotel & Restaurant (city), 12/27/2015,970 AURORA AVE,Boulder,CO,803027262
ACADEMY THREE CORP,ACADEMY HOTEL THE,Hotel & Restaurant (city), 02/10/2016,8110 N ACADEMY BLVD,COLORADO SPRINGS,CO,809203994
ACAPULCO BAY CORP,ACAPULCO BAY,Hotel & Restaurant (city), 09/15/2015,204 MAIN STREET,FT MORGAN,CO,807012107
ACE EAT SERVE INC,ACE,Hotel & Restaurant (city), 04/04/2016,501 E 17TH AVE,Denver,CO,802031329
ACE HI TAVERN CO,ACE HI TAVERN CO,Tavern (city), 12/31/2015,1216 WASHINGTON,Golden,CO,804011145
AD AX LLC,CUT RATE LIQUOR,Liquor Store (city), 03/31/2016,1537 S FEDERAL BLVD,Denver,CO,80219
ADAMS CITY LIQUOR INC,CORK AND KEG LIQUORS,Liquor Store (city), 08/02/2016,6935 LOWELL BLVD,Westminster,CO,800302654
ADAMS CITY LIQUOR LLC,ADAMS CITY LIQUOR,Liquor Store (county), 11/05/2015,7031 BRIGHTON BLVD,Commerce City,CO,80022
ADAMS MYSTERY PLAYHOUSE INC,ADAMS MYSTERY PLAYHOUSE,Tavern (city), 11/27/2015,2406 FEDERAL BLVD,Denver,CO,802114713
ADAMSON DALE GADAMSON LINDA G,COUNTY SEAT THE,Tavern (city), 03/11/2016,406 E 15TH ST,EADS,CO,810369691
ADCOCK LANA ADCOCK JEFF ET AL,ABC PRO BOWL,Hotel & Restaurant (city), 12/15/2015,204 VICTORIA AVE,Alamosa,CO,811012210
ADDIS ABABA LLC,SELAM ETHIOPIAN RESTAURANT,Hotel & Restaurant (city), 09/03/2015,1030 HAVANA ST UNIT B,Aurora,CO,800103961
ADDIS CORPORATION,KWIK STOP LIQUORS,Liquor Store (city), 07/10/2015,1671 S COLLEGE AVE,Fort Collins,CO,805251006
ADDIS-ABABA RESTAURANT INC,ADDIS-ABABA RESTAURANT,Hotel & Restaurant (city), 01/12/2016,2222 S HAVANA #B1 & B2,Aurora,CO,800141062
ADEEL TARIQ INC & 7-ELEVEN INC,7-ELEVEN STORE 13140A,3.2% Beer Off Premises (city), 12/15/2015,5405 MARSHALL ST,Arvada,CO,800023801
ADEGA LLC,ADEGA LLC,Importer (vinous & spirituous), 12/16/2015,1449 WYNKOOP ST #406,Denver,CO,802021187
ADELITAS COCINA Y CANTINA CO,ADELITAS COCINA Y CANTINA/EL GUAPO NEIGHBORHOOD LOUNGE,Hotel & Restaurant (city), 08/25/2015,1294 S BROADWAY,Denver,CO,80210
ADELITA'S INC.,ADELITA'S FINE MEXICAN FOOD,Hotel & Restaurant (city), 12/30/2015,414 E 6TH ST,LOVELAND,CO,805375610
ADOBE CREEK NATIONALLLC,ADOBE CREEK NATIONAL GOLF COURSE,Optional Premises (city), 11/27/2015,876 18 1/2 RD,FRUITA,CO,815219401
ADONAY INC & 7-ELEVEN INC,7-ELEVEN STORE 13203A,3.2% Beer Off Premises (city), 04/26/2016,7675 E COLFAX AVE,DENVER,CO,802201950
ADRESTIA ENTERTAINMENT GROUP INC,SICK PUPPY SALOON,Tavern (county), 09/03/2015,5975 TERMINAL AVENUE,Colorado Springs,CO,80915
ADRIANAS PLACE INC,ADRIANAS PLACE,Hotel & Restaurant (county), 08/11/2015,6739 LAVELL AVE,Elbert,CO,80106
ADRIANO'S BISTRO LLC,ADRIANO'S BISTRO,Beer & Wine (city), 06/20/2016,240 LAKE DILLON DR,DILLON,CO,80435
"ADU/ESU, INC. & 7-ELEVEN, INC.",7-ELEVEN STORE 34675A,3.2% Beer Off Premises (city), 01/02/2016,"1910 S HAVANA ST, UNIT 2",Aurora,CO,80014
ADULT BEVERAGE COMPANY LLC,VIDAS MARGARITAS,Manufacturer (distillery & rectifier), 03/13/2016,3835 W 10TH ST UNIT 112,Greeley,CO,80634
AEG LIVE - ROCKY MOUNTAINS LLC,GOTHIC THEATER,Tavern (city), 03/28/2016,3263 S BROADWAY,Englewood,CO,80113
AEG LIVE ROCKY MOUNTAINS LLC,OGDEN THEATRE,Tavern (city), 03/20/2016,935 E COLFAX,DENVER,CO,802181914
AEG LIVE ROCKY MOUNTAINS LLC,BLUEBIRD THEATRE,Tavern (city), 03/20/2016,3317 E COLFAX,Denver,CO,802061713
AERIE #3898 F.O.E. INC.,FRATERNAL ORDER OF EAGLES LAMAR AERIES # 3898,Tavern (city), 07/30/2016,1220 SOUTH MAIN,Lamar,CO,81052
AF RAYS BARCADE LLC,EMPIRE STATE PIZZA,Tavern (city), 12/20/2015,2700 S 8TH AVE,Greeley,CO,806318414
AFEWORKI LLC,MIDNIGHT LIQUOR,Liquor Store (city), 08/12/2015,1020 11TH ST,Greeley,CO,806313818
AFFINITY GAMING BLACK HAWK LLC,GOLDEN GATES,Retail Gaming Tavern (city), 02/04/2016,261 MAIN,Black Hawk,CO,80422
AFFINITY GAMING BLACK HAWK LLC,GOLDEN GULCH,Retail Gaming Tavern (city), 01/09/2016,321 MAIN ST,Black Hawk,CO,80422
"AFFINITY GAMING BLACK HAWK, LLC",GOLDEN MARDI GRAS,Retail Gaming Tavern (city), 01/09/2016,300 MAIN ST,Denver,CO,80244
AFRICAN GRILL AND BAR LLC,AFRICAN GRILL AND BAR,Beer & Wine (city), 09/11/2015,18601 GREEN VALLEY RANCH BLVD #101,Denver,CO,80249
AGAD INC,ANTHONY'S PIZZA & PASTA OF GOLDEN,Hotel & Restaurant (city), 04/27/2016,600 12TH STREET #120,GOLDEN,CO,804016140
AGAPEMOU LTD,KELLI'S,Tavern (city), 02/24/2016,110 W ELKHORN 2ND FLOOR,Estes Park,CO,80517
AGATE HILL LLC,AGATE HILL INN A BED & BREAKFAST,Bed & Breakfast Permit, 03/30/2016,103 CAVE AVE,MANITOU SPRINGS,CO,808291719
AGAVE INC,EL AGAVE MEXICAN RESTAURANT,Hotel & Restaurant (city), 10/07/2015,302 W MAIN ST,Rangely,CO,81648
AGK INC & 7-ELEVEN INC,7-ELEVEN STORE 23727A,3.2% Beer Off Premises (city), 08/11/2016,750 S MONACO,DENVER,CO,802241527
AGLAHE INC,EL TAPATIO,Hotel & Restaurant (city), 04/27/2016,5390 WADSWORTH BY PASS,ARVADA,CO,80002
AGRAZ AND RAIGOZA LLC,FIESTA MEXICANA NO. 4,Hotel & Restaurant (city), 03/12/2016,2850 MAIN AVE,Durango,CO,81301
AGUASCALIENTES LLC,LOS MESONES,Hotel & Restaurant (city), 11/29/2015,3643 W COLFAX AVE,DENVER,CO,802041512
AGUIRRE JESUS,EL PARRAL MEXICAN RESTAURANT,Hotel & Restaurant (city), 06/30/2016,9261 E ARAPAHOE RD,GREENWOOD VILLAGE,CO,801123620
AGUIRRE TERRAZAS REYES,EL LATINO,Tavern (city), 01/20/2016,2215 9TH STREET,Greeley,CO,806313033
AH HAA SCHOOL FOR THE ARTS INC,AH HAA SCHOOL FOR THE ARTS,Art Gallery Permit, 06/25/2016,300 S TOWNSEND ST,Telluride,CO,81435
AI SUSHI & GRILL AT POWERS INC,AI SUSHI & GRILL AT POWERS,Hotel & Restaurant (city), 03/21/2016,3215 CINEMA PT #E3,Colorado Springs,CO,809222809
AIBBEG ENTERPRISES & 7-ELEVEN INC,7-ELEVEN STORE 39082B,3.2% Beer Off Premises (city), 02/01/2016,1509 E EISENHOWER BLVD,LOVELAND,CO,805373927
AIJ INVESTMENTS LLC,HANA SUSHI,Hotel & Restaurant (city), 12/14/2015,"16911 E QUINCY AVE, UNIT A4-5",Aurora,CO,800156102
"AIMBRIDGE HOSPITALITY LLC & AP/AIM DIA SUITES TRS, LLC",EMBASSY SUITES DENVER INTL AIRPORT,Hotel & Restaurant (city), 02/05/2016,7001 YAMPA ST,Denver,CO,802496411
AIRPORT LIQUOR INC,AIRPORT LIQUOR INC,Liquor Store (county), 12/25/2015,119F AABC,ASPEN,CO,816112561
AIRPORT LIQUOR LLC,AIRPORT LIQUOR,Liquor Store (city), 07/01/2016,1619 STATE AVE,Alamosa,CO,81101
AIRTRAN AIRWAY INC,AIRTRAN AIRWAY,Public Transportation, 09/09/2015,"8400 PENA BLVD, LEVEL 6",Denver,CO,80249
AIS LLC,SIMMS LIQUOR,Liquor Store (city), 08/10/2016,11651 W 64TH AVE UNIT E-6,ARVADA,CO,800044323
AIZU JUN WOLFE MIEKO,JUN JAPANESE RESTAURANT,Hotel & Restaurant (city), 06/27/2016,3276 CENTENNIAL BLVD,Colorado Springs,CO,809074077
AIZU JUN WOLFE MIEKO,JUN JAPANESE RESTAURANT,Hotel & Restaurant (city), 06/27/2016,1760 DUBLIN BLVD,Colorado Springs,CO,809188348
AJ INC,SUSHI O SUSHI,Hotel & Restaurant (city), 04/13/2016,3643 & 3645 STAR RANCH RD,Colorado Springs,CO,80906
AJ OGORMANS INC,THE IRISH ROVER,Tavern (city), 04/07/2016,54 SOUTH BROADWAY,DENVER,CO,802091506
AJD ENTERPRISES LLC,DUCA'S NEAPOLITAN PIZZA,Beer & Wine (city), 07/17/2016,12229 VOYAGER PKWY UNIT 100,COLORADO SPRINGS,CO,809213601
AJFRASCA IV INC,PANINO'S RESTAURANT,Hotel & Restaurant (city), 07/01/2016,3015 NEW CENTER POINT,Colorado Springs,CO,809222813
AJO INC,CASA REAL MEXICAN GRILL & CANTINA,Hotel & Restaurant (city), 05/21/2016,243 E 29TH ST,Loveland,CO,80538
AJOHNS LLC,PHOENIX DISTRIBUTING,Wholesale (vinous & spirituous), 06/10/2016,"2500 W 4TH AVE, UNIT 3, R1-R4",Denver,CO,80219
AJUUA JUNIOR LLC,AJUUA MEXICAN RESTAURANT,Hotel & Restaurant (city), 12/08/2015,257 JOHNSTOWN DR UNIT 104,Johnstown,CO,80534
AKA LIQUORS LLC,ACE LIQUOR,Liquor Store (county), 02/19/2016,16265 S GOLDEN RD,Golden,CO,80401
"AKED, INC.",MARLEE WINE & SPIRITS,Liquor Store (city), 01/29/2016,4317 E. FLORIDA AVE.,Denver,CO,80219
AKELOM CORPORATION,CHAMBERS LIQUOR MART AURORA,Liquor Store (city), 11/27/2015,15201 EAST COLFAX,Aurora,CO,800115724
AKHI HOSPITALITY INC,DOUBLETREE BY HILTON DENVER-STAPLETON NORTH,Hotel & Restaurant (city), 08/31/2015,4040 QUEBEC ST,Denver,CO,80216
AKHI INVESTMENTS INC,DOUBLETREE HOTEL DENVER,Hotel & Restaurant (city), 05/21/2016,3203 QUEBEC ST,DENVER,CO,802072319
AKI LLC,ALPINIST & THE GOAT THE,Tavern (city), 05/19/2016,"204 W. COLORADO AVE ""C""",Telluride,CO,81435
AKIS SUNDANCE CAFE INC,AKIS SUNDANCE CAFE,Hotel & Restaurant (county), 07/14/2016,HWY 119,NEDERLAND,CO,804660000
AKK INC,CANA WINE AND LIQUORS,Liquor Store (city), 02/22/2016,3165 W 38TH AVE,Denver,CO,80211
AKRON CHALET LLC,MAIN ST BISTRO CHALET CAFE & LOUNGE,Tavern (city), 05/27/2016,90 MAIN AVENUE,Akron,CO,80720
AKS LLC,CINDER & CRUISE LIQUORS,Liquor Store (city), 01/07/2016,7845 WESTGATE DR,Windsor,CO,80550
AKUM INC & 7- ELEVEN INC,7-ELEVEN STORE 23206A,3.2% Beer Off Premises (county), 12/02/2015,7211 PECOS ST.,Denver,CO,80221
AL SILWADY INC,QUEBEC DISCOUNT LIQUOR,Liquor Store (city), 02/08/2016,1050 S QUEBEC ST,Denver,CO,80231
ALAMEDA CROSSING INC,ALAMEDA CROSSING LIQUOR,Liquor Store (city), 09/08/2015,542 S CHAMBERS RD #20,AURORA,CO,800173606
ALAMEDA DISCOUNT LIQUORS INC,ALAMEDA DISCOUNT LIQUORS,Liquor Store (city), 06/03/2016,6241 W ALAMEDA AVE,LAKEWOOD,CO,802263540
ALAMEDA EVENT CENTER LLC,ALAMEDA EVENT CENTER LLC,Tavern (city), 05/27/2016,31871 W ALAMEDA AVE,Denver,CO,80219
ALAMEDA LIQUOR MART II LLC,ALAMEDA LIQUOR MART,Liquor Store (city), 12/15/2015,9660 E ALAMEDA AVE #103,Denver,CO,802471282
ALAMO ASPEN GROVE LLC,ALAMO DRAFTHOUSE CINEMA,Hotel & Restaurant (city), 09/27/2015,7301 SOUTH SANTE FE DRIVE,LITTLETON,CO,801202973
ALAMOSA GOLF CLUB INC THE,GRILLE AT CATTAILS THE,Hotel & Restaurant / Optional (city), 09/21/2015,6615 N RIVER ROAD,Alamosa,CO,81101
ALAMOSA LODGING LLC,INN OF THE RIO GRANDE / RAMADA,Hotel & Restaurant (county), 06/29/2016,333 SANTA FE AVE,Alamosa,CO,81101
ALAN DS LLC,KWIK STOP #8,3.2% Beer Off Premises (county), 04/22/2016,1410 ELM AVE,CANON CITY,CO,812124434
ALAN D'S LLC,KOUNTRY KORNER,3.2% Beer Off Premises (city), 04/01/2016,1501 CENTRAL AVE,Canon City,CO,81212
ALASKA AIRLINES INC,ALASKA AIRLINES INC,Public Transportation, 04/14/2016,8500 PENA BLVD,Denver,CO,802496205
ALASKA ENTERPRISES LLC,49TH THE,Hotel & Restaurant (city), 06/03/2016,"4550 S KIPLING ST, STE 6",Denver,CO,80127
